what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1237424172990
closed,view,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.internal.introview,1237424173011
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424183857
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424184634
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424195854
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424196749
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424197875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424198394
started,bundle,com.android.ide.eclipse.ddms,0.8.0.v200809220836-110569,com.android.ide.eclipse.ddms,1237424223638
started,bundle,com.android.ide.eclipse.common,0.8.0.v200809220836-110569,com.android.ide.eclipse.common,1237424223643
started,bundle,com.android.ide.eclipse.adt,0.8.0.v200809220836-110569,com.android.ide.eclipse.adt,1237424223671
started,bundle,com.android.ide.eclipse.editors,0.8.0.v200809220836-110569,com.android.ide.eclipse.editors,1237424223913
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424224043
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424241715
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424247039
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424262846
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424267061
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1237424332817
started,bundle,org.eclipse.debug.core,3.4.0.v20080612,org.eclipse.debug.core,1237424332992
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1237424333034
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20080902-1220,org.eclipse.jdt.apt.core,1237424333187
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1237424333270
started,bundle,org.eclipse.debug.ui,3.4.1.v20080811_r341,org.eclipse.debug.ui,1237424335821
started,bundle,org.eclipse.jdt.debug,3.4.0.v20080604,org.eclipse.jdt.debug,1237424336059
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1237424336213
