what,kind,bundleId,bundleVersion,description,time
started,bundle,com.google.appengine.eclipse.core,1.0.0.v200904062334,com.google.appengine.eclipse.core,1240540203750
started,bundle,com.google.appengine.eclipse.sdkbundle,1.2.0.v200904062334,com.google.appengine.eclipse.sdkbundle,1240540203750
started,bundle,com.google.gdt.eclipse.core,1.0.0.v200904062334,com.google.gdt.eclipse.core,1240540203750
started,bundle,com.google.gdt.eclipse.suite,1.0.0.v200904062334,com.google.gdt.eclipse.suite,1240540203750
started,bundle,com.google.gwt.eclipse.core,1.0.0.v200904062334,com.google.gwt.eclipse.core,1240540203754
started,bundle,com.google.gwt.eclipse.sdkbundle.macosx,1.6.4.v200904062334,com.google.gwt.eclipse.sdkbundle.macosx,1240540203755
activated,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1240540243705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540243791
started,bundle,org.eclipse.help.base,3.3.103.v20090128_34x,org.eclipse.help.base,1240540248835
started,bundle,org.eclipse.help.ui,3.3.102.v20081014_34x,org.eclipse.help.ui,1240540248852
started,bundle,org.eclipse.equinox.http.jetty,1.1.0.v20080425,org.eclipse.equinox.http.jetty,1240540249078
started,bundle,org.eclipse.equinox.http.servlet,1.0.100.v20080427-0830,org.eclipse.equinox.http.servlet,1240540249145
started,bundle,org.eclipse.equinox.http.registry,1.0.100.v20080427-0830,org.eclipse.equinox.http.registry,1240540249167
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1240540249175
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540249205
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.0.v20080427-0830,org.eclipse.equinox.jsp.jasper.registry,1240540249574
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.100.v20080427-0830,org.eclipse.equinox.jsp.jasper,1240540249575
started,bundle,org.eclipse.help.webapp,3.3.101.M20080805_34x,org.eclipse.help.webapp,1240540250498
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540251592
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1240540258258
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1240540258306
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1240540258323
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540264125
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540265964
started,bundle,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde,1240540266213
