what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1240540518343
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1240540518921
started,bundle,org.eclipse.emf.common,2.4.0.v200902171115,org.eclipse.emf.common,1240540519225
opened,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540519411
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540519495
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1240540519668
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1240540519676
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540519702
started,bundle,org.eclipse.emf.ecore,2.4.2.v200902171115,org.eclipse.emf.ecore,1240540519814
started,bundle,org.eclipse.jem.util,2.0.100.v200805140020,org.eclipse.jem.util,1240540519816
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1240540519820
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1240540519856
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1240540519878
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1240540519882
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1240540519984
started,bundle,org.eclipse.wst.dtd.core,1.1.200.v200805140200,org.eclipse.wst.dtd.core,1240540519993
started,bundle,org.eclipse.wst.xsd.core,1.1.302.v200810020300,org.eclipse.wst.xsd.core,1240540519999
started,bundle,org.eclipse.wst.internet.cache,1.0.301.v200805140020,org.eclipse.wst.internet.cache,1240540520242
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1240540520314
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540526184
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540530945
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1240540540978
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540544025
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540546177
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540555577
