what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540706523
activated,view,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.internal.views.UserPrefsView,1240540706631
opened,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1240540707702
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1240540707721
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540728704
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1240540729641
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540739032
activated,view,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.views.ResourceNavigator,1240540756570
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540768184
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540770204
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540776208
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540779092
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540785555
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540801577
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1240540802078
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1240540802133
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540811200
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540840890
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1240540852431
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1240540857051
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540861590
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1240540861948
activated,editor,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser.editor,1240540863147
activated,editor,jp.eisbahn.eclipse.plugins.osde,0.2.2,jp.eisbahn.eclipse.plugins.osde.editors.GadgetXmlEditor,1240540869700
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1240540875323
